Date,Open,Close,Label
12-10-2012,18.860001,18.77,__label__1
15-10-2012,18.940001,18.85,__label__2
16-10-2012,18.975,18.74,__label__2
17-10-2012,18.665001,18.65,__label__1
18-10-2012,18.68,18.545,__label__2
19-10-2012,18.445,18.450001,__label__1
22-10-2012,18.74,18.865,__label__2
23-10-2012,18.360001,18.49,__label__1
24-10-2012,18.615,18.424999,__label__2
25-10-2012,18.754999,18.715,__label__2
26-10-2012,18.584999,18.475,__label__1
31-10-2012,18.450001,18.695,__label__1
01-11-2012,18.73,18.83,__label__2
02-11-2012,18.885,18.76,__label__2
05-11-2012,18.725,18.92,__label__1
06-11-2012,18.915001,19.075001,__label__1
07-11-2012,18.855,18.85,__label__1
08-11-2012,18.945,18.75,__label__2
09-11-2012,18.555,18.690001,__label__1
12-11-2012,18.764999,19.195,__label__2
13-11-2012,18.809999,19.1,__label__1
14-11-2012,19.23,18.74,__label__2
15-11-2012,18.75,18.66,__label__2
16-11-2012,18.68,18.84,__label__2
19-11-2012,19.059999,19.41,__label__2
20-11-2012,19.315001,19.525,__label__1
21-11-2012,19.75,20.120001,__label__2
23-11-2012,20.174999,20.135,__label__2
26-11-2012,20.33,20.615,__label__2
27-11-2012,21.309999,20.395,__label__2
28-11-2012,20.1,20.135,__label__1
29-11-2012,20.950001,21.424999,__label__2
30-11-2012,21.200001,21.059999,__label__1
03-12-2012,21.16,20.855,__label__2
04-12-2012,20.9,20.82,__label__2
05-12-2012,21.01,20.9,__label__2
06-12-2012,21.02,21.110001,__label__2
07-12-2012,21.035,21.125,__label__1
10-12-2012,21.055,21.084999,__label__1
11-12-2012,21.025,21.014999,__label__1
12-12-2012,20.975,20.785,__label__1
13-12-2012,20.809999,20.700001,__label__2
14-12-2012,20.594999,20.59,__label__1
17-12-2012,20.195,20.445,__label__1
18-12-2012,20.485001,20.475,__label__2
19-12-2012,20.715,20.379999,__label__2
20-12-2012,20.315001,20.745001,__label__1
21-12-2012,20.385,20.545,__label__1
24-12-2012,20.42,20.43,__label__1
26-12-2012,20.545,20.434999,__label__2
27-12-2012,20.615,20.565001,__label__2
28-12-2012,20.309999,20.389999,__label__1
31-12-2012,20.365,20.360001,__label__1
02-01-2013,20.51,20.594999,__label__2
03-01-2013,20.535,20.450001,__label__1
04-01-2013,20.450001,20.555,__label__1
07-01-2013,20.440001,20.379999,__label__1
08-01-2013,20.205,20.02,__label__1
09-01-2013,20.165001,20.174999,__label__2
10-01-2013,20.355,20.190001,__label__2
11-01-2013,20.120001,20.365,__label__1
14-01-2013,20.549999,21.025,__label__2
15-01-2013,20.834999,20.424999,__label__1
16-01-2013,20.280001,19.82,__label__1
17-01-2013,19.879999,19.754999,__label__2
18-01-2013,19.764999,19.795,__label__2
22-01-2013,19.665001,20.145,__label__1
23-01-2013,20.145,20.139999,__label__1
24-01-2013,20.055,20.275,__label__1
25-01-2013,20.299999,20.405001,__label__2
28-01-2013,20.41,20.200001,__label__2
29-01-2013,20.1,20.08,__label__1
30-01-2013,20.125,20.395,__label__2
31-01-2013,20.15,20.110001,__label__1
01-02-2013,20.334999,20.360001,__label__2
04-02-2013,20.235001,20.059999,__label__1
05-02-2013,20.139999,19.655001,__label__2
06-02-2013,19.514999,19.305,__label__1
07-02-2013,19.325001,19.065001,__label__2
08-02-2013,19.155001,19.184999,__label__2
11-02-2013,19.205,19.205,__label__2
12-02-2013,19.355,19.620001,__label__2
13-02-2013,19.67,19.565001,__label__2
14-02-2013,19.700001,19.975,__label__2
15-02-2013,20,19.92,__label__2
19-02-2013,20.025,20.440001,__label__2
20-02-2013,20.275,20.01,__label__1
21-02-2013,19.775,19.49,__label__1
22-02-2013,19.57,19.594999,__label__2
25-02-2013,19.645,19.370001,__label__2
26-02-2013,19.295,19.610001,__label__1
27-02-2013,19.424999,19.73,__label__1
28-02-2013,19.355,19.025,__label__1
01-03-2013,18.83,19.075001,__label__1
04-03-2013,18.975,18.870001,__label__1
05-03-2013,19.1,18.975,__label__2
06-03-2013,19.049999,18.875,__label__2
07-03-2013,19.200001,19.655001,__label__2
08-03-2013,20.02,20.155001,__label__2
11-03-2013,20.055,20.135,__label__1
12-03-2013,19.9,19.459999,__label__1
13-03-2013,19.51,19.43,__label__2
14-03-2013,19.629999,19.559999,__label__2
15-03-2013,19.195,19.290001,__label__1
18-03-2013,19.129999,19.254999,__label__1
19-03-2013,19.07,19.075001,__label__1
20-03-2013,19.035,18.785,__label__1
21-03-2013,18.625,18.459999,__label__1
22-03-2013,18.52,18.25,__label__2
25-03-2013,18.475,18.299999,__label__2
26-03-2013,18.43,18.375,__label__2
27-03-2013,18.254999,18.4,__label__1
28-03-2013,18.594999,18.709999,__label__2
01-04-2013,18.684999,18.584999,__label__1
