Date,Open Price,Close Price,Label
23-Nov-10,3029.7,3013.3,__label__2
22-Nov-10,2980,3042.1,__label__1
19-Nov-10,2997,2966.45,__label__1
18-Nov-10,2975.25,3004.15,__label__2
16-Nov-10,3022,2972.3,__label__2
15-Nov-10,2999.25,3024.25,__label__2
12-Nov-10,3039,2999.25,__label__2
11-Nov-10,3085.35,3055.15,__label__2
10-Nov-10,3038,3082.9,__label__1
09-Nov-10,3030,3052.1,__label__1
08-Nov-10,3082,3023.65,__label__2
05-Nov-10,3076,3079.8,__label__2
04-Nov-10,3040.1,3076.55,__label__1
03-Nov-10,3029,3024.05,__label__1
02-Nov-10,3006.95,3019.6,__label__1
01-Nov-10,2988.1,2994.65,__label__1
29-Oct-10,2984,2969.6,__label__1
28-Oct-10,2989,2974.65,__label__2
27-Oct-10,3009,2984.25,__label__2
26-Oct-10,3020,3019.85,__label__2
25-Oct-10,3055.25,3019.5,__label__2
22-Oct-10,3039.7,3053.25,__label__2
21-Oct-10,3008,3033.15,__label__1
20-Oct-10,3007,3019.25,__label__1
19-Oct-10,3107,3012.3,__label__2
18-Oct-10,3060,3107,__label__2
15-Oct-10,3205.1,3076.15,__label__2
14-Oct-10,3150,3184.25,__label__2
13-Oct-10,3090,3151.2,__label__1
12-Oct-10,3058.1,3074.9,__label__1
11-Oct-10,3084,3071.35,__label__2
08-Oct-10,3056.2,3077.4,__label__1
07-Oct-10,3089,3055.25,__label__2
06-Oct-10,3123.7,3101.7,__label__2
05-Oct-10,3103.8,3084.05,__label__2
04-Oct-10,3115,3076.7,__label__2
01-Oct-10,3044,3103.4,__label__1
30-Sep-10,3026.3,3041,__label__1
29-Sep-10,3031,3029.2,__label__1
28-Sep-10,3014,3016.65,__label__1
27-Sep-10,3050,3025.45,__label__2
24-Sep-10,3000,3040.65,__label__1
23-Sep-10,3009,3014.25,__label__1
22-Sep-10,3062,3007.3,__label__2
21-Sep-10,3015.2,3058.5,__label__2
20-Sep-10,2985,3005.9,__label__1
17-Sep-10,2995.1,2974.1,__label__1
16-Sep-10,3015.55,2967.8,__label__2
15-Sep-10,2952.55,3050.15,__label__1
14-Sep-10,2940,2975.95,__label__1
13-Sep-10,2908,2935.5,__label__1
09-Sep-10,2872,2891.3,__label__1
08-Sep-10,2855,2872.05,__label__1
07-Sep-10,2822.9,2855.55,__label__1
06-Sep-10,2770,2831.5,__label__1
03-Sep-10,2765,2771.65,__label__1
02-Sep-10,2777.1,2750.65,__label__2
01-Sep-10,2707,2775.75,__label__1
31-Aug-10,2680,2707.1,__label__1
30-Aug-10,2722,2696,__label__2
27-Aug-10,2757,2708.85,__label__2
